1.470000000000000639e+00 3.151072795431709636e-03 5.353398041281894233e-03
1.480000000000000648e+00 4.696145581749712299e-03 5.610803717487202608e-03
1.490000000000000435e+00 6.413304194820288254e-03 5.886886998276673159e-03
1.500000000000000888e+00 7.863522082154218718e-03 6.172819188858580212e-03
1.510000000000000675e+00 8.778929378107515336e-03 6.463740715839611482e-03
1.520000000000001128e+00 9.592791526136122335e-03 6.768249366128420604e-03
1.530000000000000915e+00 1.089839097263980462e-02 7.096940111099733946e-03
1.540000000000000924e+00 1.302579219217022029e-02 7.451344443687912301e-03
1.550000000000000711e+00 1.604409111236187319e-02 7.825514192186210083e-03
1.560000000000000719e+00 1.994342482204098516e-02 8.217060411198814571e-03
1.570000000000000506e+00 2.445692560552638686e-02 8.632557254427736596e-03
1.580000000000000959e+00 2.925390997376154517e-02 9.078055027683556641e-03
1.590000000000000746e+00 3.395740378583980007e-02 9.544805122282925061e-03
1.600000000000001199e+00 3.814530737016520734e-02 1.000937785397248980e-02
1.610000000000000986e+00 4.156905375944226072e-02 1.045326975236014061e-02
1.620000000000000995e+00 4.471138114020741655e-02 1.088695162507480156e-02
1.630000000000000782e+00 4.822411161251078521e-02 1.133111005789140709e-02
1.640000000000000790e+00 5.231333035361696721e-02 1.179363026250136899e-02
1.650000000000000577e+00 5.673270636968338887e-02 1.225810813811710302e-02
1.660000000000000586e+00 6.126306868858061999e-02 1.270466114281812442e-02
1.670000000000001261e+00 6.586418337573933524e-02 1.314711910938051037e-02
1.680000000000001270e+00 7.054363228904622640e-02 1.361151732143939079e-02
1.690000000000001057e+00 7.538180351245482580e-02 1.410624115374163774e-02
1.700000000000001066e+00 8.050767547087112064e-02 1.461862292386655743e-02
1.710000000000000853e+00 8.601636008442486991e-02 1.513340182322090582e-02
1.720000000000000862e+00 9.188537839203499147e-02 1.562419325196929241e-02
1.730000000000000648e+00 9.805316959811594124e-02 1.605873746794773266e-02
1.740000000000001545e+00 1.043293536883410089e-01 1.643518813329324438e-02
1.750000000000000444e+00 1.104625231169164001e-01 1.679410713353452975e-02
1.760000000000001341e+00 1.164045796617797918e-01 1.717165583054563668e-02
1.770000000000001128e+00 1.228391995207425841e-01 1.756479468299474225e-02
1.780000000000001137e+00 1.306023234196645733e-01 1.795665600424995248e-02
1.790000000000000702e+00 1.400328347616267843e-01 1.833974070255691910e-02
1.800000000000001155e+00 1.509014713150430287e-01 1.872058771286294263e-02
1.810000000000000719e+00 1.629201531427701966e-01 1.910603268478529640e-02
1.820000000000000728e+00 1.757869236203291052e-01 1.949708174294994753e-02
1.830000000000001403e+00 1.892437278609817586e-01 1.989228862197178066e-02
1.840000000000001412e+00 2.032676832032672687e-01 2.028565196539985557e-02
1.850000000000000977e+00 2.180271741886298242e-01 2.066428054508494608e-02
1.860000000000000986e+00 2.337182683688143192e-01 2.101771959706974502e-02
1.870000000000000995e+00 2.507814278165177435e-01 2.135566410803086193e-02
1.880000000000001004e+00 2.697716770425825361e-01 2.169605167745268168e-02
1.890000000000001013e+00 2.908936220918758586e-01 2.204901662572958734e-02
1.900000000000001688e+00 3.139259145405486340e-01 2.241195259313357238e-02
1.910000000000000586e+00 3.386917611467903377e-01 2.278035768510025885e-02
1.920000000000001261e+00 3.652809038586725676e-01 2.314610328226092417e-02
