1.830000000000001181e+00 1.354303807027296802e+00 1.699479008783843018e-02
1.840000000000001190e+00 1.291263019748126517e+00 1.619673131176174383e-02
1.850000000000000977e+00 1.229380786876417719e+00 1.542223085431851035e-02
1.860000000000001208e+00 1.169451950358169290e+00 1.470751462815021379e-02
1.870000000000000995e+00 1.111988931985356643e+00 1.405322337196092917e-02
1.880000000000001226e+00 1.057375920850669893e+00 1.344369619389465184e-02
1.890000000000001013e+00 1.005705717245462427e+00 1.286752518242571981e-02
1.900000000000001465e+00 9.567646969276404345e-01 1.232141786172806334e-02
1.910000000000000808e+00 9.103908367303172877e-01 1.180280767928564879e-02
1.920000000000001261e+00 8.666471471740742061e-01 1.130879884936052820e-02
1.930000000000001048e+00 8.256298439422373736e-01 1.083631267093364964e-02
1.940000000000001279e+00 7.874160443799232967e-01 1.038221975265571015e-02
1.950000000000001066e+00 7.520180004855986367e-01 9.943008222289701978e-03
1.960000000000001297e+00 7.193824275627112019e-01 9.514722869969679392e-03
1.970000000000001084e+00 6.892331295236693300e-01 9.094434557790872717e-03
1.980000000000001092e+00 6.612441556343178206e-01 8.680100595139600417e-03
1.990000000000001323e+00 6.351698549270491378e-01 8.272889984704264593e-03
2.000000000000001332e+00 6.108501088014690605e-01 7.881373244121773688e-03
2.010000000000001119e+00 5.881504829339255780e-01 7.514963489119884724e-03
2.020000000000001350e+00 5.670137251752016549e-01 7.179278330122062374e-03
2.030000000000001137e+00 5.473881484686650145e-01 6.877587524755571571e-03
2.040000000000001368e+00 5.291944339656484697e-01 6.610583033777320087e-03
2.050000000000001155e+00 5.124099906516714764e-01 6.371994392430662367e-03
2.060000000000001386e+00 4.970337704918586508e-01 6.153915440984554681e-03
2.070000000000001172e+00 4.830075419226694255e-01 5.948470787394596546e-03
2.080000000000001403e+00 4.702104639926437679e-01 5.748115733200364827e-03
2.090000000000001190e+00 4.585477890885155672e-01 5.549802988560998199e-03
2.100000000000001421e+00 4.480126059236720915e-01 5.363097764810237540e-03
2.110000000000001208e+00 4.385938273566313272e-01 5.199340627622186205e-03
2.120000000000001439e+00 4.301811533159909939e-01 5.061738080627995254e-03
2.130000000000001226e+00 4.226269757363844137e-01 4.947039704353958268e-03
2.140000000000001457e+00 4.158944175616919869e-01 4.851504419529790654e-03
2.150000000000001243e+00 4.100939122765466793e-01 4.770423153629163408e-03
2.160000000000001474e+00 4.053239843010639776e-01 4.698702086167289363e-03
2.170000000000001261e+00 4.015370094751734564e-01 4.633498006934353916e-03
2.180000000000001492e+00 3.986154753246970439e-01 4.574071579798549315e-03
2.190000000000001279e+00 3.964064798139766976e-01 4.519851361845366247e-03
2.200000000000001510e+00 3.947717737013080042e-01 4.471520305103292119e-03
2.210000000000001297e+00 3.936228723865127233e-01 4.430100645890819311e-03
2.220000000000001528e+00 3.929976795715593996e-01 4.396611866196974312e-03
2.230000000000001315e+00 3.929602805868911974e-01 4.371727758991201217e-03
2.240000000000001545e+00 3.936208597298179734e-01 4.356857824243904470e-03
2.250000000000001332e+00 3.951722847782818682e-01 4.357892697726502805e-03
2.260000000000001563e+00 3.977624588075717726e-01 4.382406197944631321e-03
